month,flow_id,company_id,empresa,segmento,ruta_logistica,volume_tons,value_usd,shipment_count,distance_km,transport_time_hrs,congestion_border,climate_variability,sensitivity_temperature,incidences_proxy,incidence_probability,incidence_flag
2021-03-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,75.59584713658505,239356.85056705697,5,433.7306260892222,10.891053807808728,0.5385033429095611,0.2066810257638867,0.7648813573075869,0.2915779682588379,0.5046403899682326,1
2021-04-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,96.3179120441758,346732.67011378537,4,433.7306260892222,10.891053807808728,0.6583860250661271,0.14013193668764015,0.7648813573075869,0.2915779682588379,0.53540140791817,0
2021-05-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,75.53385892026358,243947.46243270338,4,433.7306260892222,10.891053807808728,0.5135520957584799,0.10334364433510397,0.7648813573075869,0.2915779682588379,0.4602239318472671,1
2021-06-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,72.18698329877783,272544.3092639815,2,433.7306260892222,10.891053807808728,0.7925559458302677,0.0729169329421363,0.7648813573075869,0.2915779682588379,0.5718151615846674,0
2021-07-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,68.46997877605092,257556.93832762865,5,433.7306260892222,10.891053807808728,0.6025668506176617,0.05,0.7648813573075869,0.2915779682588379,0.481755078686329,1
2021-08-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,84.60871664765283,257382.89100341362,4,433.7306260892222,10.891053807808728,0.6150550858051121,0.05,0.7648813573075869,0.2915779682588379,0.48721336589533476,1
2021-09-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,69.82801499131452,246234.613361667,3,433.7306260892222,10.891053807808728,0.5745762445235535,0.05,0.7648813573075869,0.2915779682588379,0.46953885420843916,1
2021-10-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,53.50453226000585,190903.35884243273,5,433.7306260892222,10.891053807808728,0.6077985039469554,0.05,0.7648813573075869,0.2915779682588379,0.4840412453075092,1
2021-11-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,74.51459079352689,247792.87793575705,5,433.7306260892222,10.891053807808728,0.7361231974808213,0.14352897486794508,0.7648813573075869,0.2915779682588379,0.5701098062600749,0
2021-12-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,63.65455667488244,237075.87611849644,2,433.7306260892222,10.891053807808728,0.6820435206666903,0.11317509563079663,0.7648813573075869,0.2915779682588379,0.5369822612004395,1
2022-01-01,1,60,Atlas Express 060,porcino,Tijuana - San Diego,81.76668844156974,323233.11783337354,2,433.7306260892222,10.891053807808728,0.5041653454399394,0.05,0.7648813573075869,0.2915779682588379,0.4390016639116751,1
